,title,type
1858,Subclassed json.JSONEncoder does not respect default method for supported types,5
1859,Teach IDLE to Autocomplete dictionary keys,6
1860,IDLE freezes when opening a file with astral characters,5
1861,sock_dealloc() may call __repr__ when socket class is already collected by GC,1
1862,Vague wording of pkgutil.walk_packages parameter 'prefix',5
1863,cpython and Clang Static Analyzer,6
1865,collections.UserString.__rmod__() raises NameError,5
1866,"tarfile.extractfile in ""r|"" stream mode fails with filenames or members from getmembers()",5
1867,locale.resetlocale is broken,5
1868,Provide a way to check for *real* typing.Union instances,6
1869,imaplib noop Debug,1
1870,Support the buffer protocol in json.loads(),6
1871,Add/check os.PathLike support for the tempfile module's 'dir' arguments,6
1872,"In SocketServer, why not passing a factory instance for the RequestHandlerClass  instead of the class itself?",5
1873,Implementation of IMAP IDLE in imaplib?,6
1875,dreadful performance in difflib: ndiff and HtmlDiff,6
1877,"Why are custom messages for ValueError, TypeError suppressed in argparse?",6
1878,Harmonizing descriptor protocol documentation,6
1879,Regex object should have introspection methods,6
1881,Configuration system does not work for Windows/Visual Studio,6
1882,2to3 doesn't detect or fix Exception indexing,6
1883,object returned by tarfile.extractfile has an incorrect value of name attribute,5
1884,Remove sqlite3.Cache display method,6
1886,"The element div#sidebar on documentation requires the attribute role=""button"".",6
1888,Make sqlite3 statement cache optional,6
1892,improve struct.unpack_from's error message like struct.pack_into,6
1893,Emit a ResourceWarning in concurrent.futures executor destructors,3
1894,Access violation due to CancelSynchronousIo of console read,1
1895,"Validate shutil supports path-like objects, update docs accordingly",5
1896,test_ssl.py is broken in Centos7,2
1898,Modernize make_ssl_certs,6
1899,Provide a way to compare AST nodes for equality recursively,6
1900,Approved API for creating a temporary file path,5
1902,Carry comments with the AST,6
1903,"bdist_wininst depends on MBCS codec, unavailable on non-Windows",5
1905,readline memory corruption when sys.stdin fd >= FD_SETSIZE for select(),1
1906,Tkinter extention modules have no documentation,6
1907,No Documentation on tkinter dnd module,6
1908,Add fileinput.islastline(),6
1909,Add ability to get/set tzinfo on datetime instances in C API,6
1911,AttributeError in Popen.communicate(),5
1912,tempfile.TemporaryDirectory fails to delete itself,5
1914,Add socket.fdtype(),6
1915,distutils build_ext: don't run newer_group() in parallel in multiple threads when using parallel,7
1916,unittest cannot load module whose name starts with Unicode,5
1917,make doctest in CPython has failures,5
1918,AST literal_eval exceptions provide no information about line number,6
1919,site.main() does not work on Python 3.6 and superior if PYTHONSTARTUP is set,5
1921,collections.abc.Reversible doesn't fully support the reversing protocol,5
1923,Testing FTP support in urllib shouldn't use Debian FTP server,5
1924,Add _PyTuple_Empty and make PyTuple_New(0) never failing,6
1926,subprocess.run with stderr connected to a pipe won't timeout when killing a never-ending shell commanad,5
1927,repr() of ImportError misses keyword arguments name and path,6
1929,Race condition in use of _PyOS_SigintEvent on windows,5
1931,Change in re.escape output is not documented in whatsnew,5
1933,Add a profile decorator to profile and cProfile,6
1934,python -m cProfile -s fails with non informative message,5
1935,BytesWarning is missing from the documents,6
1936,Integer overflow in wrap_lenfunc() on 64-bit build of Windows with len > 2**31-1,5
1937,Document test.support.script_helper,6
1938,functools.partialmethod should look more like what it's impersonating.,6
1940,array.array is not an instance of collections.MutableSequence,6
1941,Crash on Py_Finalize if Py_NoSiteFlag is used,1
1944,Use argparse in the profile/cProfile modules,6
1945,urllib2 works slowly with proxy on windows,7
1946,Duplicated connection_made() call for some SSL connections,5
1947,Update Tools/freeze to use .vcxproj files,5
1948,argparse: add ability to create a man page,6
1949,Duck-typing inspect.isfunction(),6
1950,csv: Inconsistency re QUOTE_NONNUMERIC,5
1951,Lib2to3 fails with unreadable pickle file,5
1952,PDB enhancement,6
1953,CPython hangs on error __context__ set to the error itself,5
1954,Opcode names BUILD_MAP_UNPACK_WITH_CALL and BUILD_TUPLE_UNPACK_WITH_CALL are too long,6
1955,Pdb sometimes crashes when trying to remove a breakpoint defined in a different debugger sessoon,5
1956,Doctest documentation unclear about multi-line fixtures,6
1957,new empty dict can be more small,3
1958,mailbox.Maildir doesn't create subdir structure when create=True and base dir exists,5
1959,Automatic Unload of Dynamic Library Cause Segfault,1
1960,Support Apple AIFF-C pseudo compression in aifc.py,6
1962,mailbox.MH chokes on directories without .mh_sequences,6
1963,Explain why it is recommended to pass args as a string rather than as a sequence If shell is True,6
1964,Custom functions in sqlite receive None on invalid UTF-8,5
1965,httplib/http.client in method _tunnel used HTTP/1.0 CONNECT method,5
1966,re.sub confusion between count and flags args,6
1967,"shutil.copystat should (allow to) copy ownership, and other attributes",6
1969,SQLite error code not exposed to python,6
1970,Use sqlite3 extended error codes,6
1971,"BaseSelectorEventLoop.sock_{recv,sendall}() don't remove their callbacks when canceled",5
1972,Problems building with --enable-profiling on macOS,2
1973,signal module ignores external signal changes,5
1974,Adding bytes.frombuffer(byteslike) constructor,6
1975,Datetime NoneType after calling Py_Finalize and Py_Initialize,5
1977,sum() several times slower on Python 3 64-bit,7
1978,PyCode_Optimize() (peephole optimizer) doesn't handle KeyboardInterrupt correctly,1
1979,argparse: choices override metavar,5
1980,Minor warning messages when compiling documentation,2
1981,"Add ""metavar"" argument to add_subparsers() in argparse",6
1982,Argumentless super() fails in classes constructed with type(),5
1983,Deadlocks in `concurrent.futures.ProcessPoolExecutor`,5
1984,urllib.urlretrieve() fails on second ftp transfer,5
1986,Documentation error: Descriptors,6
1988,Please do not log during shutdown,5
1989,Pickling and copying exceptions doesn't preserve non-__dict__ attributes,5
1990,Minor change to https://docs.python.org/3.6/extending/building.html,5
1992,Suggested changes for https://docs.python.org/3.6/extending/extending.html,5
1994,Improve tkinter 'import *' situation,5
1996,make install doesn't seem to support --quiet,6
1998,About function renaming in the tutorial,6
1999,Reference TOC: expand 'Atoms' and 'Primaries',6
2000,Lock.acquire() not interruptible on Windows,6
2001,%z directive has no effect on the output of time.strptime,5
2002,itertools.chain behaves strangly when copied with copy.copy,5
2004,Generate PC/python3.def by scraping headers,6
2005,Special method lookup fails on uninitialized types,5
2007,webbrowser module broken with Firefox 36+,5
2008,setup.py: do not add system header locations when cross compiling,2
2009,Expose max_queue_size in ThreadPoolExecutor,6
2010,webbrowser.open incomplete on Windows,5
2011,Class __dict__ is only a mapping proxy,5
2012,bdist_msi does not pass -install/remove flags to install_script,5
2013,Add follow_wrapped=True option to help(),6
2014,"argparse support for ""python -m module"" in help",6
2016,hypot define in pyconfig.h clashes with g++'s cmath,2
2017,argparse mutex group should allow mandatory parameters,6
2018,tempfile.NamedTemporaryFile: automatic cleanup by OS,5
2019,tabnanny unit tests,6
2020,create_subprocess_exec doc doesn't match software,5
2021,zlib missing when --enable--optimizations option appended,5
2022,gdb/libpython.py does not work with gdb 7.2,5
2023,deprecate shutil.copy2,6
2024,Add multibyte encoding support to pyexpat,6
2025,collections.deque should ship with a stdlib json serializer,6
2026,types.coroutine monkey patches original function,5
2027,Inconsistency between quopri.decodestring() and email.quoprimime.decode(),5
2028,pathlib is_reserved fails for some reserved paths on Windows,5
2029,"Docstrings of non-data descriptors ""ignored""",5
2030,msgfmt cannot cope with BOM,5
2031,Enhance Cmd support for docstrings and document it.,6
2032,Add callback parameter to concurrent.futures.Executor.map,6
2033,urllib.request.Request accepts but doesn't check bytes headers,5
2035,Mismatch between glibc and X11 locale.alias,5
2036,Derby #18: Convert 31 sites to Argument Clinic across 23 files,6
2037,errors raised by bytes() and bytearray() for invalid size argument,6
2038,Clearly document the use of PYTHONIOENCODING to set surrogateescape,6
2039,ZipFile and current directory change,5
2040,datetime.__setstate__ fails decoding python2 pickle,5
2041,"links between binascii.{un,}hexlify / bytes.{,to}hex",6
2043,Support bytes-like objects when base is given to int(),6
2044,super() and property inheritance behavior,5
2045,Path takes and ignores **kwargs,5
2046,"tarfile: Add absolute_path option to tarfile, disabled by default",4
2047,New environment variable PYTHONHISTORY,6
2048,Provide `sys.executable_argv` for host application's command line arguments,6
2050,Unhelpful UnboundLocalError due to del'ing of exception target,6
2051,ImportError: Symbol not found: __PyCodecInfo_GetIncrementalDecoder when building 2.7.x on macOS,2
2052,__self__ on built-in functions is not as documented,5
2053,nt._getfinalpathname  handle leak,5
2054,Windows Python installers not installing DLL to System32/SysWOW64,5
2055,--libs is inconsistent for python-config --libs and pkgconfig python --libs,5
2056,inspect.signature includes bound argument for wrappers around decorated bound methods,5
2057,Avoid raising OverflowError in truncate() if possible,6
2059,http.client.HTTPMessage.getallmatchingheaders() always returns [],5
2060,unittest assertSequenceEqual can lead to Difflib.compare() crashing on mostly different sequences,1
2061,Raise ValueError rather of OverflowError in PyLong_AsUnsignedLong(),6
2062,operator.concat/iconcat could only work if left operand is a sequence,5
2064,"py_blake2*_new_impl produces inconsistent error messages, and raises OverflowError where ValueError might be better",5
2065,Documentation lacks clear warning of subprocess issue with pythonw,5
2066,argparse arguments in main parser hide an argument in subparser,6
2068,Remove bundled libffi for OSX,6
2069,Pathlib.replace cannot move file to a different drive on Windows if filename different,6
2070,Py_SetStandardStreamEncoding leads to a memory error in debug mode,1
2071,"Argparse improperly handles ""-_""",5
2072,AST Optimization: inlining of function calls,7
2074,AST: add an attribute to FunctionDef to distinguish functions from generators and coroutines,6
2076,Avoid temporary method object in PyObject_CallMethod() and PyObject_CallMethodObjArgs(),7
2077,Tracebacks should contain the first line of continuation lines,6
2079,Python tokenizer rewriting,5
2080,make built-in tokenizer available via Python C API,6
2081,code removal from urllib.parse.urlsplit(),6
2083,urlparse fails if the path is numeric,5
2084,cgi.FieldStorage should not call read_multi on files,5
2086,Add tests for header API of 'urllib.request.Request' class,6
2087,[httplib] httplib.BadStatusLine on any HTTPS connection in certain unknown cases.,5
2088,tarfile: Traversal attack vulnerability,4
2089,tarfile chokes on reading .tar file with no entries (but does fine if the same file is bzip2'ed),5
2090,os.walk always follows Windows junctions,6
2091,_Py_CheckPython3 uses uninitialized dllpath when embedder sets module path with Py_SetPath,5
2092,__init__.py required for pkgutil.walk_packages in python3,5
2093,An os.walk inspired replacement for pkgutil.walk_packages,6
2094,pydoc.ispackage() could be more accurate,6
2095,pkgutil._iter_file_finder_modules should not be fooled by *.py folders,5
2096,tarfile doesn't overwrite symlink by directory,5
2097,Wire protocol encoding for the JSON module,6
2098,smtplib doesn't handle unicode passwords,6
2099,"Give __len__() advice for ""don't know""",6
2100,"Coverage influence tests, make some of them fail",5
2101,json module won't parse a float that starts with a decimal point,5
2103,Increase pickle compatibility,6
2104,concurrent.futures as_completed raise TimeoutError wrong,5
2105,Moving to SipHash-1-3,7
2106,Heap out of bounds read in tok_nextc(),1
2107,PyMapping_Check returns 1 for lists,5
2108,Ability to filter warnings to print current stack,6
2109,json encoder unable to handle decimal,6
2110,Shutting down consumer on a remote queue,6
2111,IDLE needs syntax highlighting for async and await,6
2113,Problem with Checkbutton and  duplicate last name components,5
2114,Mac installer shell updater script silently fails if default shell is fish,5
2115,Expand traceback module API to accept just an exception as an argument,6
2116,shutil.rmtree should not fail with FileNotFoundError (race condition),1
2118,test_gdb failed,2
2119,add os.syncfs(),6
2120,Change 'the for statement is such an iterator' in Tutorial,6
2124,socket module sometimes loses response packets,5
2125,argparse claims '*' positional argument is required in error output,5
2126,Fix evaluation order of keys/values in dict comprehensions,5
2127,argparse help error: arguments created by add_mutually_exclusive_group() are shown outside their parent group created by add_argument_group(),5
2129,struct.pack error messages do not indicate which argument was invalid,6
2130,ssl.enum_certificates() will not return all certificates trusted by Windows,5
2131,str.__doc__ needs an update,6
2132,MSI installer does not pass values as SecureProperty from UI,5
2133,ctypes: structure with bitfields as argument,1
2134,ctypes: unions as arguments,1
2135,Undefined behavior calling C functions with ctypes.Union arguments,1
2136,Support for SameSite Cookies,6
2138,bring Lib/copy.py to 100% coverage,6
2139,platform.architecture() gives misleading results for OS X multi-architecture executables,5
2140,Cannot run pip in fresh install of py 3.5.3,5
2141,test_getgroups of test_posix fails (on OS X 10.10),5
2143,Memory corruption using pickle over pipe to subprocess,5
2144,Update pickle opcode documentation in pickletools for 3.x,6
2146,Difference between pickle implementations for function objects,5
2147,Minor increase to Pickle test coverage,6
2148,Detect mouse over lines on canvas while mouse button is down,6
2149,Allow to use a part of subprocess module during building Python,5
2150,Source installation sets incorrect permissions for Grammar3.2.3.final.0.pickle,5
2152,pickle documentation says that unpickling may not call __new__,5
2154,Type cache is not correctly invalidated on a class defining mro(),1
2155,Interactive mode gives sys.ps2 not sys.ps1 after comment-only line,5
2156,Turtle graphics fill behavior differs between versions,5
2159,Add Python coverage make target(s),6
2161,Improve the netrc library,6
2162,binhex() creates files with mixed line endings,5
2164,Add SSL_CTX_set_client_cert_engine,5
2166,unittest: TestSuite.debug() does not like subTest(),5
2167,annotation for class being defined,6
2168,Python3 error while building on Alt-F,2
2170,Multiple vulnerabilities in BaseHTTPRequestHandler enable HTTP response splitting attacks,4
2171,[smtplib] collect response data for all recipients,6
2172,Add AF_ALG (Linux Kernel crypto) to socket module,6
2173,shutil.copytree(symlinks=True) fails when copying symlinks cross-device and there is no alternative,1
2174,python.desktop,6
2175,Check usage of Py_EnterRecursiveCall() and Py_LeaveRecursiveCall() in new FASTCALL functions,5
2176,"Should PyObject_Call() call the profiler on C functions, use C_TRACE() macro?",5
2177,dynload_shlib does not close ldl handles when the interpreter is shut down,5
2178,Disabling changing sys.argv[0] with runpy.run_module(...alter_sys=True),6
2179,Lambda with complex arguments is ctx STORE,2
2180,pickle does not serialize Exception __cause__ field,5
2181,"httplib: could not skip ""ACCEPT-ENCODING"" header",5
2182,Add function similar to shutil.move that does not overwrite,6
2183,Calling assertEquals for moderately long list takes too long,3
2184,Quiet Install,5
2185,File-altering aspects of pathlib should return new pathlib objects,6
2187,IndexError thrown on email.message.Message.get,5
2188,httplib fails to handle semivalid HTTP headers,5
2189,subprocess.communicate with timeout 0 and already terminated process generates TimeoutExpired on Linux,5
2191,Documentation for format units starting with 'e' is inconsistent,6
2192,`__contains__` and `get` methods for match objects?,6
2193,Use _PyArg_Parser for _PyArg_ParseStack(): support positional only arguments,7
2194,"xattr functions aren't in os.supports_fd, os.supports_follow_symlinks",6
2195,msvcrt.locking crashes python,1
2196,Extend MSVCCompiler class to respect environment variables,6
2197,Subprocess searches special directories before PATH on Windows,5
2198,_dbm requires -lgdbm if gdbm is built as static libraries,2
2199,subprocess.Popen(cwd) documentation: Posix vs Windows,5
2200,cross compilation of third-party extension modules,5
2201,Allow to pass fileobj to is_tarfile,6
2202,Add float.is_finite is_nan is_infinite to match Decimal methods,6
2203,traceback module incorrectly formats args-less syntax errors,5
2204,add socket independent timeout to httplib/http.client read,6
2205,Argument Clinic: inline parsing code for 1-argument functions,6
2206,Argument Clinic: inline PyArg_UnpackTuple and PyArg_ParseStack(AndKeyword)?,7
2207,inspect.isroutine does not return True for some bound builtin methods,5
2208,Sort entries in foo.dist-info/RECORD,6
2210,linux/random.h present but cannot be compiled,2
2211,argparse improperly prints mutually exclusive options when they are in a group,5
2212,Add timestamp-based dependency system to build_clib,6
2213,python3.dll export forwarders not resolved in all situations due to missing python3?.dll dependency and DLL search path behavior,5
2214,IDLE needs syntax highlighting for f-strings,6
2215,copy.copy() does not properly copy os.environment,6
2216,IDLE: add cursor noblink option,6
2217,trace/profile conflict with the use of sys.modules[__name__],5
2218,select.epoll.poll may behave differently if timeout = -1 vs timeout = None,5
2219,struct module should support variable-length strings,6
2220,Add support for C99 complex type (_Complex) as ctypes.c_complex,6
2221,urllib.request.urlopen does not handle non-ASCII characters,6
2222,_findLib_crle and _get_soname broken on latest SunOS 5.11,5
2223,ctypes.util.find_library needlessly call crle on Solaris,3
2224,pyhash's siphash24 assumes alignment of the data pointer,1
2225,IDLE search and replace should use 'hit' tag instead of 'hilite',6
2226,Doc: signal.sig(timed)wait do not work outside the main thread,5
2227,pdb docs need to contain a statement on threads/multithreaded debugging,6
2228,Supply dual-stack (IPv4/IPv6) socket bind routine,6
2229,urllib2 needs to remove scope from IPv6 address when creating Host header,5
2230,httplib: wrong Host header when connecting to IPv6 link-local address,5
2231,super call in ctypes sub-class fails in 3.6,5
2232,Allow IPv6 bind in http.server,6
2233,"""./configure --enable-optimizations && make install"" does not install files in ${BINDIR} and ${LIBDIR}",5
2234,ConfigParser calls Interpolation.before_read after reading,5
2235,merge tuples in module,6
2236,parallel make test or make install can fail building pgen when configure --enable-optimizations is used,2
2238,allow Python code to determine class help text,5
2239,_sysconfigdata.py wrong on AIX installations,5
2240,Add client-side SSL session resumption,6
2242,sock.close() raises OSError EBADF when socket's fd is closed,5
2243,unittest subTest does not call addFailure,5
2244,Add support of multiple signatures,6
2245,Add operator.subscript as a convenience for creating slices,6
2248,sqlite3 timestamp converter cannot handle timezone,6
2249,NotImplemented needs to be documented,6
2250,Clarify the behavior of __eq__() returning NotImplemented,6
2251,test_regrtest fails if PCBuild directory doesn't exist,5
2252,Cannot override some flags in CFLAGS from the command-line,5
2253,accept keyword arguments on most base type methods and builtins,6
2254,"argparse optionals with nargs='?', '*' or '+' can't be followed by positionals",5
2255,argparse: Problem with defaults for variable nargs when using choices,5
2256,Wrong documentation (Library) for unicode and str comparison,5
2258,msi by bdist_msi will fail execute install-scripts if space in present in python path,1
2259,bdist_msi install_script fail to execute if alt python location specified,1
2260,Interpreter hang when interrupting a loop.run_in_executor() future,5
2261,sys.settrace doesn't disable tracing if a local trace function returns None,5
2262,urllib/http fail to sanitize a non-ascii url,5
2264,argparse help formatter does not honor non-breaking space,5
2266,"2.7.13 _sqlite more prone to ""database table is locked""",5
2267,sqlite3.InterfaceError after commit,5
2268,Shell injection via TIX_LIBRARY when using tkinter.tix,4
2269,Allow profile/cProfile to be used as context managers,6
2270,Windows os.path.isabs UNC path bug,5
2271,Python 3.6 build fails with parallel make,2
2272,time module still has Y2K issues note,6
2273,"test_logging hangs if /etc/hosts only aliases ""localhost"" to ::1",5
2274,os.cpu_count is problematic on sparc/solaris,5
2275,"test_create_connection_service_name fails if ""http"" isn't listed in /etc/services",5
2276,test_spwd fails on solaris using NIS users,5
2279,pty.spawn handles errors improperly,5
2280,ABC Recursion Error on isinstance() with less than recursion limit class hierarchy depth,5
2282,islink and stat follow_symlinks are inconsistent on Windows,6
2283,Add unicode script info to the unicode database,6
2284,Migrate IDLE context menu items to shell extension,6
2285,Unicode property value abbreviated names and long names,6
2286,Crash on GC when compiling PyPy,1
2287,Add more kwargs to cProfile's print_stats,6
2289,Python 3.5.2 strange-behavior issues (from PyPy),5
2290,tempfile module misinterprets access denied error on Windows,3
2291,document “--” as a way to distinguish option w/ narg='+' from positional argument in argparse,5
2294,assertRaises with exceptions re-raised from a generator kills generator,5
2295,make install fails on ARM,1
2296,'NoneType' object is not callable in subprocess.py,5
2297,time.strptime() return wrong result,5
2299,Pickle failure is raising AttributeError and not PicklingError,5
2300,dir(<bound method>) should include dunder attributes of the unbound method,5
2301,Tutorial links to file object methods are broken.,5
2303,Possible glitch in the interaction of a thread and a multiprocessing manager,5
2304,allow to break into pdb with Ctrl-C for all the commands that resume execution,5
2305,"Add SSLContext.set_version_range(minver, maxver=None)",6
2306,httplib: unicode url will cause an ascii codec error when combined with a utf-8 string header,5
2307,pty.py: pty.spawn hangs after client disconnect over nc (netcat),6
2308,blake2: Use lowest-common denominator signature of #pragma pack,2
2309,blake2: Remove unused function to avoid undefined references,5
2312,Sporadic freeze in test_interrupted_write_retry_text,5
2313,Python 2.6 object.__new__ argument calling autodetection faulty,5
2315,An in-place version of many bytearray methods is needed,6
2316,'SyntaxError: invalid token' is unfriendly,6
2319,"tp_descr_get(self, obj, type) is called without owning a reference to ""self""",1
2321,Windows: Python 3.5.2 won't install on my computer,5
2322,email: collapse_rfc2231_value has inconsistent unquoting,5
2323,mailbox: Implement >From_ decoding on input from mbox,6
2324,email: get_boundary (and get_filename) invokes unquote twice,5
2325,zipfile: inconsistent doc for ZIP64 file size,5
2326,Freeze fails to compile on windows,2
2327,Remove Windows Vista support,6
2328,"csv.Sniffer().sniff(0) returns a value without the ""strict"" attribute",5
2329,Importing ctypes.wintypes on Linux gives a ValueError instead of an ImportError,5
2331,Fix comments about _PyThreadState_Current,6
2332,str.translate needs a mapping example,6
2334,Python 3.6.0 multiprocessing map_async callback,5
2335,Unable to install Python 3.5.1 on Windows 10 - Error 0x80070643: Failed to install MSI package.,5
2336,Windows Python installer rolls back when run under SYSTEM account (SCCM),5
2340,shlex.shlex.error_leader() reports incorrect line number,5
2341,Allow reading member names with bogus encodings in zipfile,6
2342,shlex.shlex.lineno reports a different number depending on the previous token,5
2343,datetime.utctimetuple() should not set tm_isdst flag to 0,5
2344,ZipFile: add a filename_encoding argument,6
2345,Prefix search is filesystem-centric,6
2346,Source archive: wrong directory attributes,5
2347,Language Reference - optional comma,6
2348,nntplib is broken when responses are longer than _MAXLINE,5
2349,xml rpc server fails with connection reset by peer error no 104,5
2350,Unclear error message when raising wrong type of exceptions,6
2351,"Confusing error message when None used in expressions, eg. ""'NoneType' object has no attribute 'foo'""",6
2352,Document Object Model API - validation,5
2356,logging module: Add `full_module_name` to LogRecord details,6
2357,Switch dict and set structures to PyVarObject,6
2359,Free list for single-digits ints,7
2360,Implement LOAD_GLOBAL opcode cache,7
2361,PyStructSequence_NewType enhancement,6
2363,python windows 2.7.8 64-bit did not install,5
2364,"multiprocessing.Queue.get(block=True, timeout=0) always raises queue.Empty",5
2365,logging.handlers.RotatingFileHandler rotation broken under gunicorn,5
2367,pathlib.WindowsPath.resolve() test expects short path,5
2369,distutils/check.py overzealous catch block hides errors,5
2370,encoding package's normalize_encoding() function is too	slow,7
2373,copy.copy fails on threading.local subclass,5
2374,general pprint rewrite,6
2375,"urllib ignores FTP 226 response, breaking further FTP requests",5
2376,ftplib: command response shift - mismatch,5
2377,The fact that multiprocess.Queue uses serialization should be documented.,6
2378,ctypes.from_buffer counterpart to actively remove the mapping,5
2379,stack tracebacks should give the relevant class name,6
2380,Cross-build _curses failed if host ncurses headers and target ncurses headers have different layouts,2
2382,Cannot unload dll in ctypes until script exits,6
2383,Not matched behavior of numeric comparison with the documentation,5
2384,Use `raise from` when raising new IncompleteRead,5
2385,str.split(): remove empty strings when sep is not None,6
2386,Make str.count one character for latin1 string faster,6
2387,test_logging fails and freezes,5
2389,email.Message param parsing problem II,6
2390,Getter/setter for argparse keys,6
2392,Reference counting bug in PyArg_ParseTuple and PyArg_ParseTupleAndKeywords,1
2393,_mboxMMDF#get_message should delegate to get_bytes,6
2395,subprocess.Popen + Sqlalchemy doesn't wait for process,5
2396,"_thread.interrupt_main() errors if SIGINT handler in SIG_DFL, SIG_IGN",5
2397,"2to3 consuming_calls:  len, min, max, zip, map, reduce, filter, dict, xrange",6
2398,"""Fatal Python error: Cannot recover from stack overflow."" from RecursionError in Python 3.5",1
2399,pydoc getdocloc() is broken,5
2400,Windows: document that site is not imported by default by embeddable distribution,6
2401,Assignment to __bases__ of direct object subclasses,6
2402,Two suggestions for windows.html,6
2403,shutil.copyfile -- allow sparse copying,6
2404,Python 3.5.2 non-segfaulting bugs (from PyPy),5
2405,Globals / builtins cache,7
2406,statistics.geometric_mean has no tests. Defer to 3.7?,5
2407,Standardise more behaviours for zero-argument super() __class__ and __classcell__,5
2408,logging.handlers: Document that QueueListener is a daemon thread,6
2409,Python 3.5.2 crashers (from PyPy),1
2410,"Add method send_io, recv_io to the socket module.",6
2411,"argparse.ArgumentDefaultsHelpFormatter sometimes provides inaccurate documentation of defaults, so they should be overrideable",6
2412,Popen() object stdout attribute reassignment behaviour,5
2415,__module__ attribute is not set correctly for a class created by direct metaclass call,5
2416,SyncManager and Main Process fail to communicate after reboot or stoping with Ctrl - C,1
2417,Document the circumstances where the locals() dict get updated,6
2421,Regression in Python 3: Subclassing PrettyPrinter.format doesn't work anymore,5
2423,IDLE: Document tk's long line display limitation,5
2424,Improve ast.literal_eval test suite coverage,6
2425,urlparse.urlparse() parses invalid URI without generating an error (examples provided),5
2426,PyInstanceMethod_Type isn't hashable,5
2427,PyObject_SetAttr doesn't mention value = NULL,5
2428,Reduce memset in dict creation,7
2429,socketserver.TCPServer can not listen IPv6 address,6
2430,"Misleading stating, that SIGINT handler is installed by default",5
2431,list(<generator expression>) != [<list comprehension>],5
2432,"OS X ""Update Shell Profile"" may not update $PATH if run more than once",5
2434,Expose environment variable for Py_Py3kWarningFlag,6
2436,Option to set startup directory in IDLE,6
2437,pyro4 with more than 15 threads often crashes 2.7.12,1
2438,mention asyncio.gather non-deterministic task starting order,6
2439,Documentation about sqlite3 isolation_level,6
2440,netrc throws NetrcParseError for record without 'password',5
2441,"ConfigParser should be able to write config to a given filename, not only into file object",6
2442,Bad encoding alias cp936 -> gbk: euro sign,5
2443,No EUDC (HKSCS)  support in Windows cp950,5
2444,tkinter interface to fontchooser,6
2445,Remove HTTP 0.9 server support,5
2446,Private _nth_root function loses accuracy,5
2447,Python does not work on an IPv6 only host,5
2448,Circular dependency causes SystemError when adding new syntax,5
2449,pdb fails to access variables closed over,5
2450,"Lib/robotparser.py doesn't accept setting a user agent string, instead it uses the default.",6
2451,POSIX semantics of PATH search in execvpe is not respected,5
2452,configparser: modifying default_section at runtime,5
2453,Exception from sqlite3 adapter masked by sqlite3.InterfaceError,5
2454,zipfile increase in size,5
2456,"difficult to parse sentence structure in ""When an instance attribute is referenced that isn't a data attribute""",6
2457,Return singleton empty string in _PyUnicode_FromASCII,6
2459,Assigning and deleting __new__ attr on the class does not allow to create instances of this class,5
2460,__reduce__ not being called in dervied extension class from datetime.datetime,5
2461,Non-Windows mappings for a couple of Windows code pages,5
2462,bdist_msi duplicates directories with names in ALL CAPS to a bogus location,5
2463,for line in sys.stdin: doesn't notice EOF the first time,5
2465,mock.attach_mock should work with any return value of patch(),5
2466,truncate() semantics changed in 3.1.2,5
2467,Using a read-only buffer.,6
2469,Add the @cached_property decorator,6
2470,Tutorial: rearrange discussion of output formatting to encourage f-strings,6
2471,"Explain in the ""Data Model"" document why arguments to __init__ are ok when __new__ is not defined",6
2472,"IDLE: catch user cfg file error, better error message, continue",5
2473,Fix code example in Python 3.5 telnetlib documentation,6
2475,imghdr doesn't recognize some jpeg formats,6
2476,cmd.Cmd.get_help() implementation can't see do_*() methods added dynamically by setattr(),5
2477,concurrent.futures.ThreadPoolExecutor: tasks in queue not marked as done,5
2478,C implementation of parts of copy.deepcopy,7
2479,Provide PDB hook to customize how to find source files,6
2481,Failure to add signal handlers for any signal but SIGINT,5
2482,Modernize the IDLE Find/Replace/Find in Files dialogs,6
2483,Improvements to ipaddress module,6
2484,[alpine] shutil.copytree fail to copy a direcotry with broken symlinks,5
2485,Graphviz output for 2to3 fixer patterns,6
2486,submitting mmap example for use in documentation,6
2487,document cross compilation,6
2489,No test for thread.interrupt_main(),5
2490,ICC compiler check is too permissive,2
2491,Support creating hardlink using `pathlib`,6
2492,`tzinfo.fromutc()` fails when used for a fold-aware tzinfo implementation,6
2493,Ambiguous datetime comparisons should use == rather than 'is' for tzinfo comparison,5
2494,Unknown MS Compiler version 1900,5
2495,asyncio docs should call out that network logging is a no-no,6
2496,Logging module documentation needs a rework.,6
2497,Uninstalling Py352 x86 with /uninstall option does not remove prepended paths,5
2498,ipaddress.ip_network(...).hosts() returns nothing for an IPv4 /32,5
2499,ipaddress subnet slicing iterator malfunction,5
2500,distutils.utils.get_platform() for 32-bit Python on a 64-bit machine,5
2501,httplib mishandles unknown 1XX status codes,5
2502,"llist and scipy.stats conflicts, python segfault",1
2503,datetime.strptime %Z doesn't produce aware object,6
2504,KeyError thrown by optimised collections.OrderedDict.popitem(),5
2505,Ctypes bug windows,1
2506,Distutils fail if sys.executable is None,5
2507,mailbox.MH crashes on certain Claws Mail .mh_sequences files,6
2509,Bad BaseHTTPRequestHandler response when using HTTP/0.9,5
2511,sysconfig.py wrong _PROJECT_BASE for Py2.7 Windows 64bit PC/VS9.0,5
